ProductGroup,year,Quantityintonnes,Valueinthousandeuro,Value_per_tonne
Milk constituents,2016,1716.1770000000001,4225.905,2.4623946131430494
Milk constituents,2017,1499.49,4436.055,2.9583758477882482
Milk constituents,2018,1626.726,2822.267,1.7349369223827489
Milk constituents,2019,968.494,3165.697,3.268680033123592
Milk constituents,2020,850.849,2653.169,3.1182607019576913
Milk constituents,2021,930.585,2627.54,2.8235357328991975
Milk constituents,2022,744.381,2408.511,3.235589033035502
Milk constituents,2023,745.6460000000001,2117.392,2.8396745908916556
SMP,2010,33650.031,75994.317,2.2583728674722465
SMP,2011,41323.986,102455.67599999999,2.479327042652662
SMP,2012,32715.016,70985.289,2.1698075587063754
SMP,2013,33417.418,75071.357,2.2464738897541396
SMP,2014,36845.118,118209.462,3.2082801851794853
SMP,2015,39206.187,84627.341,2.1585200570511995
SMP,2016,40070.627,74923.779,1.8697930281949418
SMP,2017,56872.975,116669.98300000001,2.051413399773794
SMP,2018,77769.793,128337.27100000001,1.6502200410897325
SMP,2019,97915.596,200739.26799999998,2.0501255795859117
SMP,2020,96669.488,227052.867,2.348754210842619
SMP,2021,97274.334,250456.383,2.5747427168198342
SMP,2022,88395.217,335887.38,3.7998365907060334
SMP,2023,102727.928,281754.22,2.742722699517506
WMP,2010,39877.718,100539.715,2.5212003104089353
WMP,2011,45309.79,128654.405,2.8394394456473977
WMP,2012,32394.814,91900.298,2.836883027017843
WMP,2013,32227.786,114671.115,3.5581443602734613
WMP,2014,23524.273,82790.05900000001,3.5193461238950934
WMP,2015,23045.973,58785.144,2.550777265945768
WMP,2016,31366.646,71449.538,2.277882627297799
WMP,2017,49337.697,135798.877,2.752436478743627
WMP,2018,38861.106,103116.982,2.6534752253319813
WMP,2019,30702.48,88333.337,2.8770749789593544
WMP,2020,44009.392,121563.465,2.762216415077945
WMP,2021,31146.691,96297.026,3.091725730993382
WMP,2022,17120.122,70107.0,4.095005865028298
WMP,2023,25517.75,91197.882,3.5738998148347716
Whey not in powder,2010,1359.901,1821.6689999999999,1.3395600120891151
Whey not in powder,2011,1287.28,2290.423,1.7792733515629853
Whey not in powder,2012,920.7,1737.905,1.8875909633974148
Whey not in powder,2013,704.0,1747.208,2.4818295454545454
Whey not in powder,2014,200.006,397.16499999999996,1.9857654270371887
Whey not in powder,2015,2418.058,10406.99,4.303862851924975
Whey not in powder,2016,2511.261,7419.445000000001,2.9544698858461946
Whey not in powder,2017,2432.7599999999998,2996.554,1.231750768674263
Whey not in powder,2018,3492.846,4055.8940000000002,1.1612003506596054
Whey not in powder,2019,2626.2200000000003,3261.532,1.2419111879431273
Whey not in powder,2020,785.3389999999999,912.307,1.1616728571992478
Whey not in powder,2021,302.004,2394.551,7.928871803022476
Whey not in powder,2022,289.85,4086.26,14.097843712264964
Whey not in powder,2023,578.4830000000001,5300.863,9.163385959483684
Whey powder,2010,27972.657,36110.334,1.2909154107169727
Whey powder,2011,32335.430999999997,47625.029,1.4728434886177955
Whey powder,2012,33169.191,62946.204,1.8977310601274537
Whey powder,2013,33496.882,75243.652,2.2462882366185606
Whey powder,2014,28147.013,55621.118,1.976093093785831
Whey powder,2015,38112.561,74657.762,1.958875500389491
Whey powder,2016,41276.948000000004,58975.788,1.4287826706567548
Whey powder,2017,49069.798,62044.632,1.2644158836765538
Whey powder,2018,55005.022,74716.716,1.3583617146812523
Whey powder,2019,74482.454,105006.974,1.4098216205389795
Whey powder,2020,82185.225,105182.02900000001,1.2798167675515886
Whey powder,2021,80631.649,120283.317,1.4917630792841654
Whey powder,2022,82149.775,160390.135,1.9524111295496551
Whey powder,2023,80359.0,139462.55,1.7354938463644394
Yogurt,2010,7242.582,13014.315,1.7969164864132707
Yogurt,2011,6586.1810000000005,14504.475,2.2022587900332526
Yogurt,2012,7935.122,17551.668,2.211896427049263
Yogurt,2013,7845.089,18735.211,2.3881451185576097
Yogurt,2014,5244.3099999999995,16509.614,3.1481003220633417
Yogurt,2015,5514.074,17798.376,3.2278086946239752
Yogurt,2016,6954.818,21878.707,3.1458345854629117
Yogurt,2017,6953.628,22277.947,3.203787576787254
Yogurt,2018,6285.959,19528.75,3.106725640431317
Yogurt,2019,5112.599,13047.292000000001,2.551988137540222
Yogurt,2020,4472.796,10806.177,2.4159780593615268
Yogurt,2021,5158.668,13021.096,2.5241197921634035
Yogurt,2022,4605.151,12000.922,2.60597795816033
Yogurt,2023,13217.76,27744.927,2.099064213603515
